hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
126,101,29,47,83,237,399,873,911,2104,2466,2426,5429,3382,2552,4590,3881,3738,2900,1401,922,676,205,108
154,89,20,52,89,209,646,769,1254,1801,2562,1844,4030,2646,2221,3994,3412,3712,4041,1573,675,698,229,90
155,92,24,60,106,249,584,1163,1375,1510,1847,1700,4036,2599,2577,4326,3817,4345,3651,1685,754,748,172,113
138,69,20,44,94,214,439,1000,1426,1815,2634,1803,3813,2883,2064,3111,4994,4915,3799,1896,941,747,191,122
123,84,21,57,94,266,640,1103,1125,1968,2695,2083,3698,2586,2919,3055,5075,4148,3544,1455,649,682,266,127
149,76,25,54,104,275,526,1104,1392,2224,2351,1610,5216,2734,2113,4606,3212,3228,3605,1656,846,643,192,117
164,76,29,61,80,169,396,961,1147,2339,2253,2325,5342,3259,2155,2998,5011,5265,2604,1957,1042,586,281,118
160,113,22,49,82,245,592,982,1441,2348,1833,2129,4379,2238,1888,4476,5053,4369,2953,1542,717,592,260,94
143,96,25,60,76,272,526,762,1236,1918,2216,1931,5395,3440,2888,3531,4219,4820,3685,1362,781,570,283,96
101,91,25,58,81,231,578,897,1005,2431,1894,1622,4733,3113,2694,3553,4027,5110,3953,1380,671,756,199,103
111,100,19,48,88,240,510,800,1347,1757,2514,2311,5079,3231,3022,3573,3762,4156,2709,1796,922,830,247,103
128,76,30,54,99,267,442,1213,1203,2208,1749,1466,4590,3140,1985,4553,3426,4583,3085,1423,933,575,218,124
119,80,21,64,96,275,425,853,1287,1814,2555,2398,3728,2440,2618,3895,4780,3222,3265,1925,896,832,188,100
140,113,27,44,90,189,445,958,1238,1623,2646,1606,5438,3359,2709,3701,4427,4513,3239,1763,699,627,172,99
142,72,21,45,78,204,632,786,962,1534,2626,1552,4636,2657,2625,3459,3287,4768,3126,1854,672,852,178,109
101,77,19,45,110,204,624,988,1412,1982,1859,1626,4417,3027,2475,4215,4420,3740,3670,1461,961,707,235,115
120,99,26,48,83,176,480,1145,1014,1739,2144,1706,4210,3536,2027,3801,4877,4846,2747,1734,743,693,265,78
164,88,29,63,110,215,532,763,1205,2034,2223,1466,3973,3033,2402,4507,5116,3901,3473,1882,906,830,210,121
120,72,22,58,86,231,591,1196,1104,2268,2181,1590,5433,2433,2062,2815,3599,3366,2636,1769,833,531,242,107
144,85,23,47,105,215,473,948,1106,2176,1927,1998,3962,3346,2077,4594,3246,3602,3920,1809,1004,856,197,85
131,96,30,48,100,268,644,1213,995,2084,2780,1622,5043,3069,2770,4585,3235,4458,3422,1810,746,534,183,93
124,107,20,51,105,188,453,1148,1188,1540,2117,1860,5205,2752,2059,4479,3942,5191,3467,1220,1039,606,218,99
145,98,29,54,68,215,552,1028,1428,2413,2196,2308,4902,2526,2794,3351,4642,4915,3944,1395,929,746,269,121
166,93,23,44,81,188,450,829,1301,2058,1793,2154,4478,2386,2977,3678,3400,5309,3955,1562,909,640,251,126
167,105,23,47,95,195,637,959,972,1943,2627,2102,5012,3423,1834,3658,5221,4511,3037,1879,883,855,239,103
162,73,19,51,81,187,577,910,1489,2201,1745,1696,4938,3423,1889,2779,5275,4955,2982,1353,684,742,217,116
109,78,26,59,77,187,623,1179,1367,1989,2050,1540,3491,2799,2474,4513,3370,4234,4085,1455,687,789,208,82
125,89,25,52,100,246,556,1181,1011,2359,2711,1983,4449,2857,2786,3530,4841,3620,3121,1370,1057,572,246,107
103,99,22,52,101,260,533,1031,1358,1610,1967,1867,4769,3313,2118,4398,3609,4744,2696,1558,694,857,179,89
127,105,29,61,88,254,479,1144,1316,1868,1824,1946,3823,2258,2603,2976,3497,5226,3053,1827,642,733,260,88
159,85,27,57,104,224,530,1035,1026,2126,2134,1603,5168,2401,2194,4116,4567,5127,2658,1664,942,588,269,130
127,110,24,50,72,210,544,846,1473,1496,2466,1595,4706,2332,2977,3187,3819,3527,3674,1705,1020,775,259,101
112,77,21,43,71,243,565,884,1443,1973,2451,2232,3295,3145,2289,4419,4346,4785,2946,1797,1042,625,193,91
126,79,20,49,72,219,425,986,1200,2129,2348,1721,4019,3475,2912,4129,4139,3630,3903,1634,826,800,263,129
146,96,30,46,100,177,623,794,1239,1643,2225,2195,4063,2387,2305,3564,4347,4828,4030,1598,1006,582,181,95
159,75,27,40,101,213,469,1069,1055,2098,1871,2122,5299,3038,1901,2794,3948,4370,3675,1403,796,819,174,93
127,110,29,48,97,181,487,864,1120,2338,2609,1860,3287,3614,2785,3182,4731,5137,4128,1852,990,856,192,126
103,84,19,43,87,170,532,1093,1377,2234,2445,1985,3992,3622,2355,4510,4369,3969,2767,1700,771,729,186,79
137,79,22,43,100,268,488,1139,1391,1548,2725,1592,5144,2422,1962,2849,3651,3642,3573,1689,846,674,182,78
160,75,25,56,102,252,422,784,1250,1810,2251,1900,5175,3284,2833,3084,3737,4876,3812,1314,707,838,227,113
160,77,23,51,103,208,583,1003,1475,2020,2537,1759,3757,2985,2042,3901,4427,5062,3877,1221,885,681,199,123
130,97,22,41,91,170,642,1214,982,1958,2599,1885,4958,2685,2687,4213,3932,5116,2551,1568,905,819,195,118
113,86,29,60,103,212,533,800,1249,2039,2512,2358,5137,3374,2476,4163,3353,3694,2789,1914,744,613,203,83
154,71,19,49,87,270,454,769,1482,2038,2017,1875,4607,3687,2626,4313,3921,3492,3077,1470,829,637,186,120
131,77,29,61,98,255,486,766,1020,2390,2691,2162,3282,3294,2656,4550,4821,3240,4218,1660,994,730,238,78
141,96,20,56,104,179,446,1007,1452,2357,2834,1768,4294,2522,2665,2907,4256,3630,3927,1554,760,623,210,128
153,103,19,62,69,187,505,1118,1182,1943,1768,1894,4448,2895,2302,3851,4850,5179,3084,1817,930,619,249,78
122,82,20,52,69,237,643,790,1151,2314,2248,1783,5375,2424,2144,3602,3957,4253,3398,1875,994,537,255,96
166,85,25,57,70,241,470,1155,1505,1950,1884,2388,5102,3589,1990,3881,4900,3531,2794,1319,966,708,204,92
156,104,23,51,80,237,511,812,1169,2382,1732,1593,4387,3658,3010,2884,4994,3488,2731,1394,757,567,202,98
124,91,25,52,105,191,454,1042,1191,1979,2752,2340,4055,2993,2818,4329,4826,4747,2595,1352,841,706,187,118
146,83,20,60,73,274,487,746,974,2303,1755,2040,5137,2527,2604,3399,4338,4157,2688,1421,969,677,259,84
120,85,28,42,101,215,510,1136,1464,2316,1935,2013,4069,2426,2843,3810,4069,3460,2784,1603,1058,828,176,113
123,104,29,54,91,203,452,928,1170,2403,1854,1526,3657,2502,2197,4420,4142,4765,3705,1909,942,686,223,90
164,86,30,47,82,235,631,1055,1427,1984,2490,2148,4363,2422,2349,4281,4054,3947,3281,1984,673,568,216,82
167,108,30,56,95,191,571,826,1320,1780,2618,1995,5203,3601,2513,3566,4453,4941,2890,1579,933,605,275,104
118,71,19,51,97,245,491,1116,1018,2140,2124,1747,4048,3416,1843,2984,4225,4614,4041,1308,683,784,226,116
163,107,25,62,70,235,560,877,1369,2453,1878,2393,4865,2578,2893,3980,5118,4345,2992,1253,834,573,271,127
165,96,22,51,110,236,553,939,1439,1986,2830,1619,4738,2955,2800,3100,5059,4475,3411,1974,761,566,239,115
132,89,27,58,101,279,596,973,1142,2078,2112,1917,4374,3183,2585,4145,3544,4407,3933,1674,920,726,229,96
114,106,19,51,77,260,630,793,1266,2111,2073,1738,3562,2318,2510,3711,3202,3416,4138,1320,753,540,264,99
162,104,21,58,110,205,649,1186,1023,1649,2480,1491,4820,3379,2370,3177,3882,4643,3235,1410,1044,598,262,130
109,88,27,48,94,223,645,832,922,2440,1808,2127,5376,2796,2396,4539,5312,5193,2610,2013,833,817,181,94
149,106,22,56,90,268,571,783,1386,2122,2763,1614,4409,2736,1873,4428,3468,5264,3612,1931,1035,786,250,83
155,69,28,58,102,274,493,1224,1460,1992,2652,2320,3756,2273,2417,3223,4267,5182,3739,1826,863,560,268,126
120,70,25,56,76,199,653,994,1366,2058,1817,1649,4643,3199,2228,3375,4533,3379,3256,2010,818,597,279,129
120,105,28,44,78,257,513,1092,919,2442,2583,1788,3945,3204,2946,4265,3325,4532,4197,1747,774,648,187,98
114,71,24,53,103,237,509,934,1363,1942,2216,1780,4890,3389,2540,3996,4917,4342,4047,1837,838,825,208,101
109,93,26,62,81,190,401,1120,996,2329,2412,1936,4009,3088,2322,4312,5199,3728,3196,1951,717,841,283,92
164,113,25,40,82,221,555,759,958,2075,2207,1694,3732,2548,2689,3197,3473,4301,4070,1797,686,563,260,90
118,73,29,54,84,188,419,1161,1281,1974,2385,1967,4311,2672,2233,3938,4172,5286,2753,1593,1054,790,196,100
111,105,28,44,88,265,553,853,1255,2209,2632,2261,3401,3456,3026,4269,5293,3670,3516,1723,816,615,257,123
111,104,24,46,93,211,591,1176,1206,1733,2552,2375,4294,3439,2364,3641,4547,3856,4211,1835,729,645,210,98
119,112,27,46,71,224,456,790,979,1938,1982,1864,3585,3320,2056,4076,4066,4826,3615,1713,763,692,245,127
117,93,28,41,103,193,560,1014,1244,2414,1766,2195,5169,2283,1863,4467,5230,5332,4201,1780,777,819,253,110
118,107,27,41,100,192,573,793,1283,1684,1985,2128,4513,3639,1939,3269,3834,3363,3592,1693,647,633,213,102
106,100,27,41,105,218,540,889,1088,2438,2176,1629,5219,2856,1941,4474,4094,3564,3316,2030,845,713,263,124
104,99,29,57,89,278,421,967,967,1642,1749,1855,4659,2986,2254,4238,3535,3206,3533,1803,663,675,263,116
143,90,19,63,91,231,636,1026,1067,1646,1897,2054,4729,2487,2611,3306,3861,4363,3114,1274,813,547,249,114
124,80,26,49,111,256,502,1119,1431,1528,2481,2400,4934,3648,2336,4418,4147,3714,3862,1883,806,681,237,117
159,114,21,57,101,224,439,1218,1365,1720,2288,2193,3444,2422,2208,3717,3655,3825,2936,1527,716,751,283,115
159,88,30,40,78,222,463,795,1411,2113,1938,1689,4355,2978,2706,3035,5189,4000,2666,1682,1042,646,208,104
151,75,22,51,72,226,622,824,1120,1674,2200,2069,3492,3512,1957,3449,4879,3420,2755,1400,846,813,268,124
113,110,20,61,99,273,626,789,906,1749,2348,2243,5253,3516,2419,2827,4963,3244,4048,2023,744,640,200,122
133,82,29,51,84,202,529,899,1235,1668,2698,1918,4027,3061,2453,3948,4138,4420,3385,1949,850,826,258,123
111,73,19,59,103,279,502,1050,1087,1790,2784,1662,3662,3060,2394,3895,4410,3937,2907,1295,807,838,198,97
106,80,19,46,71,214,583,757,1412,1871,1745,1802,3337,3637,2730,3522,5211,3754,4063,1725,761,701,186,125
115,87,30,56,89,275,480,1025,931,2006,2057,1856,4315,2986,2815,2845,4460,3914,2681,1723,1046,634,223,93
153,107,21,52,92,170,557,1082,1076,1565,2777,2316,4944,2437,2489,4277,4983,3274,2783,1905,908,688,206,121
149,102,28,41,91,196,512,983,1340,1964,1794,1572,5336,2628,2427,4370,4554,4491,4191,1236,958,649,276,103
118,77,19,45,83,216,520,920,1081,1847,1889,1818,3687,2291,2281,3913,3663,4817,2673,1515,1022,766,224,116
105,94,25,63,80,180,474,1129,1045,1710,2227,1892,3451,3148,2895,3306,3340,3493,4159,1798,828,774,232,118
107,83,24,46,96,254,483,1078,995,2269,1855,2323,4998,2531,2493,3119,3976,3442,3444,1651,904,756,172,121
117,103,18,39,103,229,617,1241,1375,1526,1945,1990,3404,3319,2873,3202,4428,4735,2789,1840,991,658,248,78
108,79,29,39,103,241,511,986,1083,2051,2130,2179,3828,3125,2768,3067,5052,4004,3733,1408,944,617,246,102
166,102,25,48,111,259,550,868,965,2193,2054,1891,4224,2914,1867,3141,4119,4430,2674,1639,1053,696,196,108
164,81,21,44,94,272,495,1187,1106,1700,2686,2167,4612,3399,2569,3489,3829,3422,2585,1637,862,519,222,81
146,73,21,49,90,234,632,816,1363,1714,2287,1985,4059,3623,2362,2778,4287,3776,3844,1922,1038,636,259,97
153,100,29,52,91,214,504,839,1092,1687,2554,1480,4122,2625,2004,4594,4312,4907,2592,1602,1040,622,221,92
141,78,29,57,89,230,647,1170,912,1746,2139,1833,3359,3079,2862,4606,4006,4959,3048,1414,812,824,283,97
125,81,25,64,78,217,569,1202,1473,2232,2664,2373,5271,3092,1940,3886,4935,4814,3873,1886,790,752,228,96
145,91,22,39,90,172,616,1085,1386,1680,1920,1508,3440,3418,2982,4582,3502,4722,2598,1550,966,620,237,89
152,84,24,40,72,189,583,859,1439,1985,2655,2190,3790,3013,2081,2937,5133,3719,3545,1760,827,606,182,106
163,92,19,45,79,250,422,996,1400,2165,2851,1754,4284,3171,2104,3601,3655,5128,3986,1365,749,782,194,81
104,77,26,47,104,196,481,1036,1302,2273,2155,2338,4765,3195,2537,3929,4158,3330,3543,1245,823,808,259,106
122,83,23,46,104,252,460,927,1444,2184,2179,1977,4544,3161,2757,3303,3503,4339,3022,1341,750,820,177,109
114,76,20,58,68,236,452,953,910,1722,2643,2115,4274,3640,1897,4294,3660,3871,2819,1872,991,654,228,93
125,78,18,50,88,272,507,1156,1418,1833,2336,2153,4513,2351,2013,3224,4869,4247,3631,1950,782,523,257,127
125,79,24,61,67,241,435,755,1168,2266,2473,1845,5262,2857,2210,3126,5261,5333,4068,1334,978,611,209,80
153,91,20,61,95,260,631,1079,1486,1974,1775,2191,4200,2514,2912,2920,4610,4769,3827,1778,698,795,239,80
165,97,18,57,104,230,462,1140,1216,2386,2048,2406,5366,2723,2064,3167,3813,3638,3526,1866,842,575,211,107
112,91,21,42,85,239,571,1215,1020,2338,2301,1645,3554,2291,2447,3468,3912,4830,3765,1648,868,695,267,92
136,72,30,62,105,279,542,1130,1238,2117,2331,2251,3312,3637,2909,3055,4227,5120,3514,1560,1024,852,273,117
162,114,28,51,106,198,451,1163,934,1772,1774,1524,3983,2473,2658,4164,3961,5164,2694,1452,816,639,200,89
105,111,28,45,69,248,580,1200,1145,2160,2601,2004,5098,2814,2535,3563,4046,3837,3865,2004,941,562,252,78
121,91,21,56,106,239,585,1140,1242,2440,2735,1623,4671,2615,1896,4411,3916,4500,3522,1532,768,605,256,112
157,98,21,48,75,250,455,1146,1045,1625,2296,2280,5374,2805,2826,3089,4070,3225,3820,1392,702,685,220,100
141,104,28,56,103,266,507,931,1108,1989,1744,1950,4587,2869,2383,3049,5032,5149,2818,1401,974,816,242,94
162,98,22,44,76,180,643,886,941,2188,2226,1920,4602,3368,2515,3149,4854,4178,3767,1800,647,637,272,113
108,78,25,63,104,216,401,962,1351,1648,2505,2375,3609,3036,2317,3482,4091,5070,3961,1725,761,756,243,89
128,95,23,40,107,259,435,1141,1223,1676,2461,2323,3622,3023,2598,2942,4706,3715,4121,1918,967,764,250,80
120,69,27,47,68,254,474,808,1264,1746,2643,2418,4795,3483,2284,4478,3929,5153,4222,1439,831,528,276,124
126,108,28,64,102,239,480,1018,1089,2281,2149,1817,5237,2767,2496,3550,5252,3235,3144,1235,880,781,182,96
129,100,25,53,91,255,497,1106,993,2411,2062,2425,5229,2701,2727,4172,3522,3551,3552,1728,656,680,221,99
165,89,21,62,108,278,452,1026,1322,2299,1829,2129,4358,2570,2350,4050,4083,5253,2791,1700,986,795,257,101
118,74,22,40,108,280,556,1119,980,2162,1977,2302,4399,2471,1892,3658,5266,3829,3144,1364,1049,791,173,124
155,77,29,57,99,249,454,1168,1494,1651,2236,1751,5210,3404,2925,2903,4349,4365,2828,1830,844,823,176,107
166,69,23,59,105,219,554,1092,1151,1713,2258,1903,3463,3198,2121,3995,5218,3242,3470,1959,754,590,208,130
137,75,23,57,91,241,517,1193,1379,1558,1903,1763,5381,3020,2881,3335,4602,3840,4037,1568,876,613,205,127
111,101,27,52,86,207,532,778,1502,2191,2510,2196,5126,3685,2922,3214,4447,4238,3263,1690,1037,565,176,93
157,74,25,56,93,194,409,873,1421,1639,2668,2204,4642,2634,2873,2901,4930,3455,3937,1895,671,844,172,105
126,111,28,43,97,251,632,1009,961,1511,2647,1897,4918,3447,2341,3666,4744,3667,3564,1721,969,597,251,109
119,94,18,56,94,272,627,1160,1200,1803,2686,1634,5325,2808,2682,3930,4426,3664,3504,1245,984,813,259,96
115,80,28,52,96,176,551,1124,1440,1813,2739,2291,4788,2864,2178,4459,4572,4144,3005,1451,676,674,244,87
156,96,24,41,85,278,471,950,1467,1782,2494,1981,4426,3244,2223,3968,3323,4295,4163,1284,646,770,187,100
107,114,24,62,99,215,511,1125,1297,2409,2524,1525,5250,3117,2824,3315,3805,4076,3294,1610,895,632,223,118
111,99,28,39,95,170,643,1091,1280,1614,2625,2049,3737,3325,2622,4269,5079,4868,3278,1648,870,733,250,119
113,111,25,52,106,202,635,1220,1058,1837,1904,2233,5228,3177,2910,2894,4024,3951,4143,1410,918,738,217,93
114,83,25,42,100,235,550,1086,1487,2171,1903,1500,4598,2315,2615,3887,5128,4947,3990,2016,866,712,245,121
147,113,21,50,67,197,536,799,1021,2212,1905,2016,5052,2721,2696,4323,4707,3605,3912,1363,962,580,252,121
162,84,28,47,103,186,416,926,1292,2280,1967,1910,4348,3069,2342,3531,3682,4471,2821,1553,717,801,212,129
101,93,24,49,92,244,564,1230,977,2228,2673,1705,3740,2417,2950,3184,4055,4522,3106,1365,788,678,172,102
165,106,20,50,98,232,582,1093,910,2050,2586,1950,5251,3094,2541,3906,4104,5239,3649,1751,676,782,279,105
105,72,28,62,87,251,618,839,1384,2107,2875,1807,3663,3099,2992,3076,3825,5251,3644,1264,1036,649,181,110
126,73,20,58,102,278,444,1064,1460,2108,2745,2128,3853,3307,2205,4547,4258,4228,3804,1498,850,610,173,78
129,82,23,49,108,226,573,897,921,2397,2446,1702,4486,2853,2894,3399,5128,5233,2954,1633,986,805,246,108
119,88,29,40,106,213,451,1214,949,1915,2236,1575,3740,2877,2048,4112,3662,3486,2557,1283,954,742,174,79
165,83,30,61,89,236,588,927,1291,1987,2327,2121,3429,2481,2518,4277,4446,3581,3931,1261,926,713,244,100
155,90,18,55,103,274,429,1163,1094,1969,2262,1611,5258,2314,3034,3868,5323,5161,2863,1239,1022,685,174,100
143,70,23,40,106,196,448,753,1188,2395,1856,1944,4319,2588,2753,4332,4175,4926,2639,1270,679,861,185,119
158,94,22,62,105,220,523,1178,1156,1558,2409,2208,4877,2417,2864,3770,3255,4393,3070,2012,643,624,197,118
138,113,23,51,88,214,440,1155,1296,1562,1822,2363,4694,3169,2484,4107,5055,3503,2987,1501,785,539,220,110
139,82,18,54,106,231,437,1230,1304,1534,2485,2071,3592,2953,2368,3983,4180,3306,3181,1895,848,829,233,117
135,80,22,60,90,188,500,816,1264,1671,2355,1719,5401,2315,2943,3989,4586,4650,2712,1490,854,625,218,106
112,85,27,62,73,186,558,979,1225,2133,2402,2330,3320,2848,3019,4386,4738,5116,2928,1239,694,534,184,95
152,101,20,53,83,268,407,1177,940,1659,2001,1887,3286,3123,2163,3021,4655,3699,3919,1584,851,724,200,116
108,103,22,51,87,216,496,1199,1397,2157,2770,2299,5064,2771,1979,4469,5159,3266,4137,1909,681,619,175,125
166,80,30,61,91,204,525,1220,1266,1733,2605,1717,3572,3039,2310,2944,3746,3245,4136,1604,776,835,175,100
158,78,26,57,86,226,449,1122,1417,1821,2305,1644,3824,3341,2219,3484,4537,3675,3395,2010,773,573,179,108
153,88,20,59,86,239,619,1165,1360,1695,2745,2198,3883,2992,2425,3121,4515,3227,3913,1417,1009,633,170,81
133,78,29,44,79,210,417,1112,1393,2068,2578,1993,3964,3404,1843,3460,4524,4403,2965,1948,836,799,283,100
135,99,18,46,90,196,536,960,1360,1731,2747,2345,5218,3702,2029,3514,3821,4540,2603,1774,710,552,182,90
126,70,20,51,88,176,484,985,1009,1673,2831,1585,3285,2921,2692,3787,4181,3522,2729,1510,678,620,172,104
123,70,28,41,106,224,469,1137,1371,1964,1797,1954,4199,2539,2244,2988,3302,5056,2811,1798,1053,645,282,113
149,89,28,40,68,231,522,1229,1164,1806,2447,2064,3643,3109,1925,3005,3266,5303,3985,1504,855,857,202,87
163,82,18,60,84,200,456,907,962,1566,1851,2295,4983,2903,1833,4239,3543,4631,3070,1979,673,674,215,130
160,94,29,55,73,262,599,1113,923,1505,2857,1893,5301,2766,2935,3438,4727,4643,3470,1512,955,729,171,119
156,110,29,47,79,220,622,1186,918,2249,2276,1684,3767,3502,2520,3269,4293,3754,2757,1813,1010,626,271,113
132,111,18,56,102,195,575,1207,1036,2417,2121,2375,4864,2670,2195,2800,3766,4566,3835,1830,1011,720,202,109
126,83,22,48,87,206,455,1056,992,2438,2069,1993,4296,3169,2841,3106,4651,4509,2793,1478,771,827,188,112
159,112,25,62,99,187,596,866,1159,1512,2119,2162,4226,2622,1883,4197,3966,5255,2724,1486,766,529,274,129
116,85,29,53,100,253,454,1237,1474,2402,2734,1741,4463,2412,1885,3224,3664,4504,3762,2015,869,539,227,98
161,95,23,63,84,226,554,1158,1025,2326,2110,2260,4100,2931,2188,3453,4829,4041,3178,1746,812,540,170,87
111,113,23,45,98,170,540,1005,1282,1961,1945,1916,4735,2690,2987,3651,4007,4192,3318,1960,1004,767,203,101
123,97,22,55,67,233,575,1212,1039,2221,2288,2417,3459,2958,2453,3083,4469,4989,3551,1493,1024,555,229,92
111,99,27,53,67,181,616,1154,1012,2217,2714,2045,5274,2680,2221,2905,4834,4117,2862,1613,648,732,218,83
120,97,25,55,100,179,532,956,1059,1647,2385,1816,3348,3684,2496,4006,4921,3231,3089,1256,915,651,186,129
138,109,21,40,104,242,587,888,983,2050,2848,1547,3696,3231,2661,3919,4270,3480,3603,1257,1035,563,234,112
109,82,27,53,85,272,503,833,1011,2033,1933,1772,5274,3028,2977,3513,3552,3223,2701,1945,846,658,190,98
111,113,20,52,102,211,529,747,987,1889,1789,1515,4876,3455,2342,3665,3303,3607,3018,1308,689,752,255,96
161,110,27,58,108,240,589,1072,1005,1774,2103,1766,3753,2592,2331,3808,4347,4221,3290,1420,958,809,229,83
128,85,22,48,72,188,478,1075,1393,2435,2830,1580,5058,2752,2038,4588,4048,4300,3102,2026,906,750,192,80
105,77,27,52,108,200,540,1148,1229,1976,2129,2338,4904,3480,2236,3910,3531,3416,4122,1829,999,689,251,108
125,92,18,54,108,193,480,1159,1360,2193,2103,1791,5058,3442,2221,4272,4638,3476,3247,1810,641,664,254,86
167,96,30,48,102,238,420,783,1391,2324,1913,2084,4344,3150,1914,4302,4787,4209,3456,1246,852,550,195,82
162,96,25,62,72,270,408,1203,996,1809,1808,1991,4134,2626,2397,4226,5276,4634,3020,1776,673,812,276,115
157,79,29,63,78,212,582,1235,1124,2265,2725,1757,3318,2568,2791,3357,3704,5149,2645,1799,883,807,265,116
125,76,19,40,95,185,451,1120,1276,1566,1845,2425,5421,3063,2960,4319,3272,4106,3937,1292,742,757,264,109
102,100,24,64,87,232,436,1225,1234,2206,2656,2123,5432,3013,2877,4199,4302,5066,3107,1611,918,836,278,90
108,108,30,57,89,247,394,832,965,1733,2395,2426,3699,3459,2055,3651,5313,3986,3127,1995,849,860,276,81
107,113,25,53,105,218,644,1096,1305,2386,2797,1697,4767,2466,2851,2997,5068,3578,4102,1836,639,611,257,105
125,99,23,45,71,248,566,1131,1007,2175,2308,2381,3804,2751,2872,3770,4699,3536,3245,1978,840,664,203,129
117,86,19,57,89,237,653,1096,1040,2301,2428,1850,3601,2634,2837,3600,4036,4755,3631,1850,817,655,196,80
146,80,30,52,79,275,429,1134,1351,2263,2668,2389,4200,2226,2272,4032,5130,4428,3726,1856,754,844,173,109
160,93,25,50,86,275,428,1073,1265,2423,2402,1969,4250,2791,2497,3382,3353,4679,2996,1791,687,596,184,92
131,114,29,62,70,194,409,1025,1399,1592,2098,1479,4851,3439,1996,2969,4690,4316,3300,1519,764,752,170,99
147,103,27,51,86,245,455,829,1318,2065,2494,1919,3331,2618,1970,3447,4961,5070,3546,1362,1052,766,200,112
109,70,27,64,84,279,505,1096,1442,2443,2342,1918,3425,3526,2518,3640,3957,3844,2651,1523,948,815,242,112
111,70,30,43,108,279,638,1190,1217,2216,2663,1740,3779,2509,1954,4545,4691,3953,2883,1641,965,622,243,80
158,114,29,46,101,233,409,1069,1144,1738,1853,1624,3913,2479,2610,4390,4663,4370,3046,1882,716,820,189,108
160,74,20,63,104,193,473,777,1383,1779,1983,1983,3406,2257,1899,2804,3703,4179,3820,1854,905,574,219,99
116,100,28,44,98,239,577,1038,1139,1658,1885,1840,4475,2570,2573,3511,4268,4961,3170,1889,740,594,246,93
162,95,25,64,83,191,596,820,933,2233,1942,2361,4363,2857,3038,3262,4036,4827,3369,1502,951,704,269,121
126,90,26,50,72,201,406,869,1323,2358,2176,2276,5355,2236,2168,4240,3869,3504,2977,1806,707,582,243,90
